Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
10/4/2017 17:42,10/4/2017 17:50,31241,Thomas Circle,31278,18th & R St NW,W20529,Member
10/5/2017 7:49,10/5/2017 8:12,31406,14th & Upshur St NW,31238,14th & G St NW,W20529,Member
10/5/2017 8:26,10/5/2017 8:29,31238,14th & G St NW,31228,8th & H St NW,W20529,Member
10/5/2017 8:33,10/5/2017 8:38,31228,8th & H St NW,31219,10th St & Constitution Ave NW,W20529,Member
10/5/2017 16:35,10/5/2017 16:51,31219,10th St & Constitution Ave NW,31624,North Capitol St & F St NW,W20529,Member
10/5/2017 17:53,10/5/2017 18:16,31624,North Capitol St & F St NW,31051,Arlington Blvd & N Queen St,W20529,Member
10/6/2017 8:17,10/6/2017 8:38,31051,Arlington Blvd & N Queen St,31271,Constitution Ave & 2nd St NW/DOL,W20529,Member
10/6/2017 11:39,10/6/2017 11:50,31271,Constitution Ave & 2nd St NW/DOL,31503,Florida Ave & R St NW,W20529,Member
10/6/2017 12:59,10/6/2017 13:13,31503,Florida Ave & R St NW,31214,17th & Corcoran St NW,W20529,Member
10/6/2017 13:43,10/6/2017 14:14,31214,17th & Corcoran St NW,31243,4th & C St SW,W20529,Member
10/6/2017 14:28,10/6/2017 15:09,31243,4th & C St SW,31129,15th St & Pennsylvania Ave NW/Pershing Park,W20529,Casual
10/6/2017 15:50,10/6/2017 16:12,31129,15th St & Pennsylvania Ave NW/Pershing Park,31129,15th St & Pennsylvania Ave NW/Pershing Park,W20529,Casual
10/6/2017 16:32,10/6/2017 16:39,31129,15th St & Pennsylvania Ave NW/Pershing Park,31252,21st St & Pennsylvania Ave NW,W20529,Member
10/6/2017 16:44,10/6/2017 16:48,31252,21st St & Pennsylvania Ave NW,31220,US Dept of State / Virginia Ave & 21st St NW,W20529,Member
10/6/2017 16:53,10/6/2017 17:09,31220,US Dept of State / Virginia Ave & 21st St NW,31627,3rd & M St NE,W20529,Member
10/7/2017 11:38,10/7/2017 11:53,31627,3rd & M St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20529,Member
10/7/2017 14:03,10/7/2017 14:07,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31605,3rd & D St SE,W20529,Member
10/7/2017 14:20,10/7/2017 14:27,31605,3rd & D St SE,31610,Eastern Market / 7th & North Carolina Ave SE,W20529,Casual
10/7/2017 14:30,10/7/2017 14:44,31610,Eastern Market / 7th & North Carolina Ave SE,31108,4th & M St SW,W20529,Member
10/8/2017 0:28,10/8/2017 0:30,31108,4th & M St SW,31609,Maine Ave & 7th St SW,W20529,Member
10/8/2017 11:16,10/8/2017 11:33,31609,Maine Ave & 7th St SW,31239,Rhode Island & Connecticut Ave NW,W20529,Member
10/8/2017 12:37,10/8/2017 13:01,31239,Rhode Island & Connecticut Ave NW,31290,17th St & Independence Ave SW,W20529,Casual
10/8/2017 13:30,10/8/2017 13:57,31290,17th St & Independence Ave SW,31258,Lincoln Memorial,W20529,Casual
10/8/2017 14:16,10/8/2017 15:07,31258,Lincoln Memorial,31277,17th & G St NW,W20529,Member
10/8/2017 15:23,10/8/2017 15:50,31277,17th & G St NW,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20529,Member
10/8/2017 15:54,10/8/2017 16:17,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31603,1st & M St NE,W20529,Casual
10/8/2017 16:28,10/8/2017 16:35,31603,1st & M St NE,31624,North Capitol St & F St NW,W20529,Member
10/8/2017 23:08,10/8/2017 23:33,31624,North Capitol St & F St NW,31271,Constitution Ave & 2nd St NW/DOL,W20529,Member
10/8/2017 23:34,10/8/2017 23:45,31271,Constitution Ave & 2nd St NW/DOL,31288,4th St & Madison Dr NW,W20529,Member
10/8/2017 23:46,10/9/2017 0:10,31288,4th St & Madison Dr NW,31247,Jefferson Dr & 14th St SW,W20529,Member
10/9/2017 0:12,10/9/2017 0:36,31247,Jefferson Dr & 14th St SW,31290,17th St & Independence Ave SW,W20529,Member
10/9/2017 0:37,10/9/2017 0:53,31290,17th St & Independence Ave SW,31258,Lincoln Memorial,W20529,Member
10/9/2017 1:23,10/9/2017 1:48,31258,Lincoln Memorial,31277,17th & G St NW,W20529,Member
10/9/2017 1:49,10/9/2017 2:13,31277,17th & G St NW,31256,10th & E St NW,W20529,Member
10/9/2017 2:14,10/9/2017 2:29,31256,10th & E St NW,31624,North Capitol St & F St NW,W20529,Member
10/9/2017 13:04,10/9/2017 13:13,31114,18th St & Wyoming Ave NW,31212,21st & M St NW,W20529,Member
10/9/2017 14:30,10/9/2017 14:38,31212,21st & M St NW,31116,California St & Florida Ave NW,W20529,Member
10/9/2017 15:06,10/9/2017 15:11,31116,California St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W20529,Member
10/9/2017 16:43,10/9/2017 16:45,31104,Adams Mill & Columbia Rd NW,31112,Harvard St & Adams Mill Rd NW,W20529,Member
10/10/2017 15:32,10/10/2017 15:51,31301,Ward Circle / American University,31307,3000 Connecticut Ave NW / National Zoo,W20529,Casual
10/10/2017 16:47,10/10/2017 17:03,31307,3000 Connecticut Ave NW / National Zoo,31201,15th & P St NW,W20529,Member
10/10/2017 17:51,10/10/2017 18:00,31201,15th & P St NW,31238,14th & G St NW,W20529,Member
10/10/2017 18:08,10/10/2017 18:19,31238,14th & G St NW,31285,22nd & P ST NW,W20529,Member
10/10/2017 19:09,10/10/2017 19:14,31285,22nd & P ST NW,31221,18th & M St NW,W20529,Member
10/10/2017 19:17,10/10/2017 19:23,31221,18th & M St NW,31237,25th St & Pennsylvania Ave NW,W20529,Member
10/10/2017 19:28,10/10/2017 19:44,31237,25th St & Pennsylvania Ave NW,31307,3000 Connecticut Ave NW / National Zoo,W20529,Member
10/10/2017 19:55,10/10/2017 20:11,31307,3000 Connecticut Ave NW / National Zoo,31245,7th & R St NW / Shaw Library,W20529,Member
10/10/2017 22:20,10/10/2017 22:33,31245,7th & R St NW / Shaw Library,31121,Calvert St & Woodley Pl NW,W20529,Member
10/11/2017 4:40,10/11/2017 4:59,31121,Calvert St & Woodley Pl NW,31283,14th & L St NW,W20529,Casual
10/11/2017 6:28,10/11/2017 6:40,31283,14th & L St NW,31264,6th St & Indiana Ave NW,W20529,Member
10/11/2017 16:41,10/11/2017 17:01,31514,Hamlin & 7th St NE,31615,6th & H St NE,W20529,Member
10/12/2017 8:08,10/12/2017 8:35,31615,6th & H St NE,31255,24th & N St NW,W20529,Member
